id,gender,bowType,age,round,score,
1,Men,Recurve,50+,York,194,
2,Men,Recurve,50+,York,285,
3,Men,Recurve,50+,York,404,
4,Men,Recurve,50+,York,544,
5,Men,Recurve,50+,York,694,
6,Men,Recurve,50+,York,839,
7,Men,Recurve,50+,York,965,
8,Men,Recurve,50+,York,1067,
9,Men,Recurve,50+,York,1148,
1,Men,Recurve,50+,Hereford / Bristol I,311,
2,Men,Recurve,50+,Hereford / Bristol I,436,
3,Men,Recurve,50+,Hereford / Bristol I,581,
4,Men,Recurve,50+,Hereford / Bristol I,732,
5,Men,Recurve,50+,Hereford / Bristol I,873,
6,Men,Recurve,50+,Hereford / Bristol I,993,
7,Men,Recurve,50+,Hereford / Bristol I,1089,
8,Men,Recurve,50+,Hereford / Bristol I,1165,
9,Men,Recurve,50+,Hereford / Bristol I,1222,
1,Men,Recurve,50+,Bristol II,462,
2,Men,Recurve,50+,Bristol II,613,
3,Men,Recurve,50+,Bristol II,766,
4,Men,Recurve,50+,Bristol II,905,
5,Men,Recurve,50+,Bristol II,1019,
1,Men,Recurve,50+,Bristol III,616,
2,Men,Recurve,50+,Bristol III,767,
3,Men,Recurve,50+,Bristol III,905,
4,Men,Recurve,50+,Bristol III,1019,
1,Men,Recurve,50+,Bristol IV,802,
2,Men,Recurve,50+,Bristol IV,933,
3,Men,Recurve,50+,Bristol IV,1041,
1,Men,Recurve,50+,Bristol V,1001,
2,Men,Recurve,50+,Bristol V,1094,
1,Men,Recurve,50+,St. George,176,
2,Men,Recurve,50+,St. George,254,
3,Men,Recurve,50+,St. George,351,
4,Men,Recurve,50+,St. George,460,
5,Men,Recurve,50+,St. George,570,
6,Men,Recurve,50+,St. George,671,
1,Men,Recurve,50+,Albion / Long Windsor,269,
2,Men,Recurve,50+,Albion / Long Windsor,371,
3,Men,Recurve,50+,Albion / Long Windsor,482,
4,Men,Recurve,50+,Albion / Long Windsor,592,
5,Men,Recurve,50+,Albion / Long Windsor,691,
6,Men,Recurve,50+,Albion / Long Windsor,774,
1,Men,Recurve,50+,Windsor,384,
2,Men,Recurve,50+,Windsor,498,
3,Men,Recurve,50+,Windsor,610,
4,Men,Recurve,50+,Windsor,707,
5,Men,Recurve,50+,Windsor,788,
1,Men,Recurve,50+,Windsor 50,508,
2,Men,Recurve,50+,Windsor 50,617,
3,Men,Recurve,50+,Windsor 50,713,
4,Men,Recurve,50+,Windsor 50,792,
1,Men,Recurve,50+,Windsor 40,652,
2,Men,Recurve,50+,Windsor 40,741,
3,Men,Recurve,50+,Windsor 40,814,
1,Men,Recurve,50+,Windsor 30,800,
2,Men,Recurve,50+,Windsor 30,857,
1,Men,Recurve,50+,New Western,111,
2,Men,Recurve,50+,New Western,168,
3,Men,Recurve,50+,New Western,244,
4,Men,Recurve,50+,New Western,337,
5,Men,Recurve,50+,New Western,441,
6,Men,Recurve,50+,New Western,541,
1,Men,Recurve,50+,Long Western,193,
2,Men,Recurve,50+,Long Western,275,
3,Men,Recurve,50+,Long Western,372,
4,Men,Recurve,50+,Long Western,475,
5,Men,Recurve,50+,Long Western,571,
6,Men,Recurve,50+,Long Western,654,
1,Men,Recurve,50+,Western,289,
2,Men,Recurve,50+,Western,391,
3,Men,Recurve,50+,Western,495,
4,Men,Recurve,50+,Western,591,
5,Men,Recurve,50+,Western,670,
1,Men,Recurve,50+,Western 50,389,
2,Men,Recurve,50+,Western 50,493,
3,Men,Recurve,50+,Western 50,588,
4,Men,Recurve,50+,Western 50,668,
1,Men,Recurve,50+,Western 40,512,
2,Men,Recurve,50+,Western 40,604,
